blockNum,blockName,pracNum,tryNum,maxScore,trialNum,stimulus,corrAns,slideFile1,slideFile2,slideFile3,stimulus_file
1,Demo 1,1,0,6,1,long-crayon,long_crayon_box,NA,NA,DEMO,imgs/crayon/crayon-card-long-transp.png
1,Demo 1,1,0,6,2,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
1,Demo 1,1,0,6,3,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
1,Demo 1,1,0,6,4,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
1,Demo 1,1,0,6,5,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
1,Demo 1,1,0,6,6,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
2,Practice 1,1,1,6,1,long-crayon,long_crayon_box,NA,NA,slide-03,imgs/crayon/crayon-card-long-transp.png
2,Practice 1,1,1,6,2,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
2,Practice 1,1,1,6,3,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
2,Practice 1,1,1,6,4,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
2,Practice 1,1,1,6,5,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
2,Practice 1,1,1,6,6,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
5,Rule 1,NA,NA,10,1,long-crayon,long_crayon_box,NA,NA,slide-04,imgs/crayon/crayon-card-long-transp.png
5,Rule 1,NA,NA,10,2,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
5,Rule 1,NA,NA,10,3,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
5,Rule 1,NA,NA,10,4,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
5,Rule 1,NA,NA,10,5,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
5,Rule 1,NA,NA,10,6,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
5,Rule 1,NA,NA,10,7,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
5,Rule 1,NA,NA,10,8,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
5,Rule 1,NA,NA,10,9,short-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
5,Rule 1,NA,NA,10,10,long-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
6,Demo 2,2,0,6,1,long-crayon,short_crayon_box,NA,NA,DEMO,imgs/crayon/crayon-card-long-transp.png
6,Demo 2,2,0,6,2,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
6,Demo 2,2,0,6,3,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
6,Demo 2,2,0,6,4,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
6,Demo 2,2,0,6,5,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
6,Demo 2,2,0,6,6,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
7,Practice 2,2,1,6,1,long-crayon,short_crayon_box,NA,NA,slide-06,imgs/crayon/crayon-card-long-transp.png
7,Practice 2,2,1,6,2,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
7,Practice 2,2,1,6,3,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
7,Practice 2,2,1,6,4,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
7,Practice 2,2,1,6,5,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
7,Practice 2,2,1,6,6,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
10,Rule 2,NA,NA,10,1,short-crayon,long_crayon_box,NA,NA,slide-07,imgs/crayon/crayon-card-short-transp.png
10,Rule 2,NA,NA,10,2,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
10,Rule 2,NA,NA,10,3,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
10,Rule 2,NA,NA,10,4,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
10,Rule 2,NA,NA,10,5,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
10,Rule 2,NA,NA,10,6,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
10,Rule 2,NA,NA,10,7,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
10,Rule 2,NA,NA,10,8,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
10,Rule 2,NA,NA,10,9,long-crayon,short_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-long-transp.png
10,Rule 2,NA,NA,10,10,short-crayon,long_crayon_box,NA,NA,NA,imgs/crayon/crayon-card-short-transp.png
